,H,S,V
0,21,161,147
1,22,155,145
2,21,167,145
3,19,143,146
4,20,149,147
5,20,146,150
6,20,146,150
7,21,169,145
8,21,137,153
9,21,146,154
10,20,145,151
11,20,107,165
12,20,136,157
13,21,150,165
14,20,140,159
15,20,149,151
16,20,159,152
17,20,131,163
18,19,128,157
19,20,118,164
20,20,116,165
21,21,120,164
22,19,116,163
23,19,106,159
24,19,109,159
25,21,105,161
26,21,105,161
27,20,121,158
28,19,105,155
29,19,124,164
30,21,154,159
31,20,140,164
32,22,176,154
33,23,178,159
34,23,179,158
35,22,158,166
36,23,167,159
37,23,171,158
38,22,139,163
39,21,148,162
40,22,138,159
41,21,138,161
42,21,128,155
43,20,124,154
44,20,122,157
45,21,146,154
46,22,149,161
0,21,161,147
1,22,155,145
2,21,167,145
3,19,143,146
4,20,149,147
5,20,146,150
6,20,146,150
7,21,169,145
8,21,137,153
9,21,146,154
10,20,145,151
11,20,107,165
12,20,136,157
13,21,150,165
14,20,140,159
15,20,149,151
16,20,159,152
17,20,131,163
18,19,128,157
19,20,118,164
20,20,116,165
21,21,120,164
22,19,116,163
23,19,106,159
24,19,109,159
25,21,105,161
26,21,105,161
27,20,121,158
28,19,105,155
29,19,124,164
30,21,154,159
31,20,140,164
32,22,176,154
33,23,178,159
34,23,179,158
35,22,158,166
36,23,167,159
37,23,171,158
38,22,139,163
39,21,148,162
40,22,138,159
41,21,138,161
42,21,128,155
43,20,124,154
44,20,122,157
45,21,146,154
46,22,149,161
47,22,176,145
48,21,165,142
49,22,158,139
50,21,149,137
51,20,142,140
52,21,155,145
53,21,166,143
54,22,161,149
55,21,144,149
56,22,166,144
57,20,133,153
58,21,137,153
59,21,134,160
60,20,157,154
61,21,153,158
62,21,180,156
63,22,160,161
64,24,199,156
65,24,225,151
66,23,204,154
67,23,200,149
68,23,165,155
69,21,135,157
70,21,135,157
71,21,134,152
72,19,113,153
73,19,116,152
74,20,125,151
75,20,125,151
76,20,116,150
77,19,104,155
78,19,119,152
79,21,136,154
80,20,143,157
81,19,103,149
82,17,88,150
83,19,87,146
0,21,161,147
1,22,155,145
2,21,167,145
3,19,143,146
4,20,149,147
5,20,146,150
6,20,146,150
7,21,169,145
8,21,137,153
9,21,146,154
10,20,145,151
11,20,107,165
12,20,136,157
13,21,150,165
14,20,140,159
15,20,149,151
16,20,159,152
17,20,131,163
18,19,128,157
19,20,118,164
20,20,116,165
21,21,120,164
22,19,116,163
23,19,106,159
24,19,109,159
25,21,105,161
26,21,105,161
27,20,121,158
28,19,105,155
29,19,124,164
30,21,154,159
31,20,140,164
32,22,176,154
33,23,178,159
34,23,179,158
35,22,158,166
36,23,167,159
37,23,171,158
38,22,139,163
39,21,148,162
40,22,138,159
41,21,138,161
42,21,128,155
43,20,124,154
44,20,122,157
45,21,146,154
46,22,149,161
47,22,176,145
48,21,165,142
49,22,158,139
50,21,149,137
51,20,142,140
52,21,155,145
53,21,166,143
54,22,161,149
55,21,144,149
56,22,166,144
57,20,133,153
58,21,137,153
59,21,134,160
60,20,157,154
61,21,153,158
62,21,180,156
63,22,160,161
64,24,199,156
65,24,225,151
66,23,204,154
67,23,200,149
68,23,165,155
69,21,135,157
70,21,135,157
71,21,134,152
72,19,113,153
73,19,116,152
74,20,125,151
75,20,125,151
76,20,116,150
77,19,104,155
78,19,119,152
79,21,136,154
80,20,143,157
81,19,103,149
82,17,88,150
83,19,87,146
84,22,174,151
85,22,176,151
86,21,153,155
87,21,161,155
88,22,154,156
89,21,183,149
90,23,188,148
91,22,152,148
92,21,136,144
93,22,140,140
94,21,122,152
95,21,123,149
96,20,128,137
97,19,101,149
98,21,91,154
99,21,87,150
